id,name,area,genre,rating,googleMapsUrl,comment,isActive,createdAt
"32","GODIVA Bakery ゴディパン 京都四条店","other","other",3.2,"https://www.google.com/maps/search/?api=1&query=GODIVA%20Bakery%20%E3%82%B4%E3%83%87%E3%82%A3%E3%83%91%E3%83%B3%20%E4%BA%AC%E9%83%BD%E5%9B%9B%E6%9D%A1%E5%BA%97","GODIVA Bakery ゴディパン 京都四条店 3.2(61) ￥1,000～2,000 · ベーカリー",true,"2026-03-31"
"33","フィオーレジャルディーノ","other","other",4.1,"https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%82%A3%E3%82%AA%E3%83%BC%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%AB%E3%83%87%E3%82%A3%E3%83%BC%E3%83%8E","フィオーレジャルディーノ 4.1(90) イタリア料理",true,"2026-03-31"
"34","〒542-0012 大阪府大阪市中央区谷町６丁目３−１０ すかんぽ","other","other",3.5,"https://www.google.com/maps/search/?api=1&query=%E3%80%92542-0012%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA%EF%BC%96%E4%B8%81%E7%9B%AE%EF%BC%93%E2%88%92%EF%BC%91%EF%BC%90%20%E3%81%99%E3%81%8B%E3%82%93%E3%81%BD","〒542-0012 大阪府大阪市中央区谷町６丁目３−１０ すかんぽ",true,"2026-03-31"
"35","立ち鮨ひでぞう","other","sushi",4.2,"https://www.google.com/maps/search/?api=1&query=%E7%AB%8B%E3%81%A1%E9%AE%A8%E3%81%B2%E3%81%A7%E3%81%9E%E3%81%86","立ち鮨ひでぞう 4.2(120) 日本料理",true,"2026-03-31"
"36","魚屋 ひでぞう 立ち呑み店","other","izakaya",4.2,"https://www.google.com/maps/search/?api=1&query=%E9%AD%9A%E5%B1%8B%20%E3%81%B2%E3%81%A7%E3%81%9E%E3%81%86%20%E7%AB%8B%E3%81%A1%E5%91%91%E3%81%BF%E5%BA%97","魚屋 ひでぞう 立ち呑み店 4.2(456) ￥2,000～3,000 · 居酒屋",true,"2026-03-31"
"37","メゾン ポール・ボキューズ","other","other",4.4,"https://www.google.com/maps/search/?api=1&query=%E3%83%A1%E3%82%BE%E3%83%B3%20%E3%83%9D%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%9C%E3%82%AD%E3%83%A5%E3%83%BC%E3%82%BA","メゾン ポール・ボキューズ 4.4(589) ￥10,000 以上 · フランス料理",true,"2026-03-31"
"38","ホームズパスタトラットリア梅田阪急グランドビル店","umeda","other",3.1,"https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%BC%E3%83%A0%E3%82%BA%E3%83%91%E3%82%B9%E3%82%BF%E3%83%88%E3%83%A9%E3%83%83%E3%83%88%E3%83%AA%E3%82%A2%E6%A2%85%E7%94%B0%E9%98%AA%E6%80%A5%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%83%93%E3%83%AB%E5%BA%97","ホームズパスタトラットリア梅田阪急グランドビル店 3.1(84) ￥1,000～2,000 · イタリア料理",true,"2026-03-31"
"39","やぐら","other","other",4.2,"https://www.google.com/maps/search/?api=1&query=%E3%82%84%E3%81%90%E3%82%89","やぐら 4.2(537) ￥1～1,000 · かつ丼屋",true,"2026-03-31"
"40","パンとエスプレッソと南森町交差点","tenma","other",3.9,"https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%B3%E3%81%A8%E3%82%A8%E3%82%B9%E3%83%97%E3%83%AC%E3%83%83%E3%82%BD%E3%81%A8%E5%8D%97%E6%A3%AE%E7%94%BA%E4%BA%A4%E5%B7%AE%E7%82%B9","パンとエスプレッソと南森町交差点 3.9(768) ￥1,000～2,000 · カフェ・喫茶",true,"2026-03-31"
"41","Dal Brigante","other","other",4.2,"https://www.google.com/maps/search/?api=1&query=Dal%20Brigante","Dal Brigante 4.2(294) ￥1,000～2,000 · イタリア料理",true,"2026-03-31"
"42","お好み焼き まるみ","other","other",4,"https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D%20%E3%81%BE%E3%82%8B%E3%81%BF","お好み焼き まるみ 4.0(156) 臨時休業",true,"2026-03-31"
"43","回転寿し仁 あべのハルカスダイニング店","other","sushi",3.3,"https://www.google.com/maps/search/?api=1&query=%E5%9B%9E%E8%BB%A2%E5%AF%BF%E3%81%97%E4%BB%81%20%E3%81%82%E3%81%B9%E3%81%AE%E3%83%8F%E3%83%AB%E3%82%AB%E3%82%B9%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E5%BA%97","回転寿し仁 あべのハルカスダイニング店 3.3(365) ￥2,000～3,000 · 寿司",true,"2026-03-31"
